environment,video,frame_idx,label,num_people_detected
Home_01,video (1).avi,0,normal,1
Home_01,video (1).avi,52,fall,1
Home_01,video (1).avi,105,standing,1
Home_01,video (1).avi,144,fall,1
Home_01,video (1).avi,149,fall,1
Home_01,video (1).avi,154,fall,1
Home_01,video (1).avi,158,fall,1
Home_01,video (1).avi,159,fall,1
Home_01,video (1).avi,164,fall,1
Home_01,video (1).avi,211,fall,1
Home_01,video (10).avi,124,standing,1
Home_01,video (10).avi,249,standing,1
Home_01,video (11).avi,124,standing,1
Home_01,video (11).avi,249,standing,1
Home_01,video (12).avi,129,standing,1
Home_01,video (12).avi,161,fall,1
Home_01,video (12).avi,164,fall,1
Home_01,video (12).avi,167,fall,1
Home_01,video (13).avi,96,standing,1
Home_01,video (13).avi,144,standing,1
Home_01,video (13).avi,156,fall,1
Home_01,video (13).avi,167,fall,1
Home_01,video (14).avi,172,standing,1
Home_01,video (14).avi,186,fall,1
Home_01,video (15).avi,142,standing,1
Home_01,video (16).avi,0,sitting,1
Home_01,video (16).avi,52,sitting,1
Home_01,video (16).avi,158,fall,1
Home_01,video (16).avi,186,fall,1
Home_01,video (17).avi,0,normal,1
Home_01,video (17).avi,48,fall,1
Home_01,video (17).avi,96,sitting,1
Home_01,video (17).avi,144,normal,1
Home_01,video (18).avi,0,standing,1
Home_01,video (18).avi,43,standing,1
Home_01,video (18).avi,129,fall,1
Home_01,video (18).avi,135,fall,1
Home_01,video (19).avi,0,fall,1
Home_01,video (19).avi,38,fall,1
Home_01,video (19).avi,76,fall,1
Home_01,video (19).avi,115,normal,1
Home_01,video (19).avi,129,fall,1
Home_01,video (2).avi,0,normal,1
Home_01,video (2).avi,96,standing,1
Home_01,video (2).avi,120,fall,1
Home_01,video (2).avi,124,fall,1
Home_01,video (2).avi,128,fall,1
Home_01,video (20).avi,0,normal,1
Home_01,video (20).avi,43,normal,1
Home_01,video (20).avi,86,fall,1
Home_01,video (20).avi,129,walking,1
Home_01,video (20).avi,147,fall,1
Home_01,video (20).avi,155,fall,1
Home_01,video (21).avi,0,normal,1
Home_01,video (21).avi,43,normal,1
Home_01,video (21).avi,86,fall,1
Home_01,video (21).avi,129,walking,1
