path,label
fa1_outputs\balanced\standing\Coffee_room_01_video (4)_f41.png,standing
fa1_outputs\balanced\sitting\aug97_B_rotated_15deg_Home_02_video (45)_f189.png,sitting
fa1_outputs\balanced\fall\aug399_B_rotated_15deg_Home_01_video (3)_f122.png,fall
fa1_outputs\balanced\standing\Lecture_room_video (25)_f188.png,standing
fa1_outputs\balanced\standing\Coffee_room_01_video (26)_f194.png,standing
fa1_outputs\balanced\walking\aug924_D_zoom_1.3x_Coffee_room_01_video (12)_f22.png,walking
fa1_outputs\balanced\fall\Home_01_video (30)_f126.png,fall
fa1_outputs\balanced\sitting\aug47_D_zoom_1.3x_Coffee_room_02_video (55)_f121.png,sitting
fa1_outputs\balanced\fall\Coffee_room_02_video (60)_f137.png,fall
fa1_outputs\balanced\normal\Office_video (33)_f191.png,normal
fa1_outputs\balanced\standing\Coffee_room_01_video (23)_f0.png,standing
fa1_outputs\balanced\sitting\aug605_brightness_jitter_Home_01_video (26)_f43.png,sitting
fa1_outputs\balanced\fall\aug284_D_zoom_1.3x_Coffee_room_02_video (54)_f162.png,fall
fa1_outputs\balanced\walking\aug361_B_rotated_15deg_Coffee_room_01_video (30)_f54.png,walking
fa1_outputs\balanced\walking\aug881_C_flipped_Home_01_video (4)_f30.png,walking
fa1_outputs\balanced\normal\Office_video (24)_f663.png,normal
fa1_outputs\balanced\fall\aug467_C_flipped_Office_video (14)_f138.png,fall
fa1_outputs\balanced\standing\Lecture_room_video (16)_f348.png,standing
fa1_outputs\balanced\sitting\aug20_brightness_jitter_Coffee_room_01_video (31)_f231.png,sitting
fa1_outputs\balanced\fall\Coffee_room_01_video (45)_f172.png,fall
fa1_outputs\balanced\walking\aug61_B_rotated_15deg_Office_video (18)_f459.png,walking
fa1_outputs\balanced\standing\Coffee_room_01_video (46)_f116.png,standing
fa1_outputs\balanced\normal\Home_02_video (39)_f168.png,normal
fa1_outputs\balanced\walking\Lecture_room_video (12)_f421.png,walking
fa1_outputs\balanced\normal\aug112_B_rotated_15deg_Coffee_room_01_video (39)_f78.png,normal
fa1_outputs\balanced\sitting\aug21_B_rotated_15deg_Coffee_room_01_video (31)_f33.png,sitting
fa1_outputs\balanced\fall\Home_01_video (3)_f122.png,fall
fa1_outputs\balanced\walking\aug674_D_zoom_1.3x_Home_02_video (47)_f252.png,walking
fa1_outputs\balanced\standing\Lecture_room_video (8)_f144.png,standing
fa1_outputs\balanced\standing\Lecture_room_video (25)_f263.png,standing
fa1_outputs\balanced\sitting\aug80_brightness_jitter_Home_01_video (27)_f30.png,sitting
fa1_outputs\balanced\normal\aug286_brightness_jitter_Home_01_video (30)_f144.png,normal
fa1_outputs\balanced\normal\Office_video (9)_f154.png,normal
fa1_outputs\balanced\standing\Lecture_room_video (15)_f296.png,standing
fa1_outputs\balanced\normal\Home_01_video (9)_f268.png,normal
fa1_outputs\balanced\fall\aug344_B_rotated_15deg_Home_01_video (1)_f164.png,fall
fa1_outputs\balanced\fall\Office_video (14)_f86.png,fall
fa1_outputs\balanced\standing\Coffee_room_01_video (44)_f0.png,standing
fa1_outputs\balanced\standing\Coffee_room_02_video (50)_f195.png,standing
fa1_outputs\balanced\normal\aug368_B_rotated_15deg_Home_02_video (44)_f251.png,normal
fa1_outputs\balanced\standing\Office_video (1)_f207.png,standing
fa1_outputs\balanced\sitting\aug555_brightness_jitter_Coffee_room_01_video (34)_f166.png,sitting
fa1_outputs\balanced\standing\Lecture_room_video (16)_f522.png,standing
fa1_outputs\balanced\normal\aug196_B_rotated_15deg_Coffee_room_02_video (67)_f34.png,normal
fa1_outputs\balanced\standing\Coffee_room_02_video (64)_f127.png,standing
fa1_outputs\balanced\fall\Office_video (8)_f335.png,fall
fa1_outputs\balanced\sitting\Coffee_room_02_video (62)_f105.png,sitting
fa1_outputs\balanced\standing\Coffee_room_02_video (64)_f53.png,standing
fa1_outputs\balanced\standing\Home_02_video (43)_f147.png,standing
fa1_outputs\balanced\normal\aug141_brightness_jitter_Coffee_room_01_video (9)_f82.png,normal
fa1_outputs\balanced\fall\aug379_D_zoom_1.3x_Home_01_video (25)_f170.png,fall
fa1_outputs\balanced\fall\aug43_B_rotated_15deg_Coffee_room_01_video (16)_f46.png,fall
fa1_outputs\balanced\sitting\Coffee_room_01_video (34)_f259.png,sitting
fa1_outputs\balanced\standing\Coffee_room_01_video (31)_f99.png,standing
fa1_outputs\balanced\walking\aug276_B_rotated_15deg_Office_video (18)_f574.png,walking
fa1_outputs\balanced\normal\aug146_B_rotated_15deg_Coffee_room_02_video (50)_f0.png,normal
fa1_outputs\balanced\fall\Home_01_video (30)_f134.png,fall
fa1_outputs\balanced\standing\Lecture_room_video (27)_f103.png,standing
